Date,Adj Close
1/4/1999,22.40384792
1/5/1999,22.68749405
1/6/1999,23.08644054
1/7/1999,23.03236117
1/8/1999,23.03959902
1/11/1999,22.73569463
1/12/1999,22.22956718
1/13/1999,22.20662571
1/14/1999,21.91465827
1/15/1999,22.4750608
1/18/1999,22.474533
1/19/1999,22.74804584
1/20/1999,22.87698024
1/21/1999,22.36818766
1/22/1999,22.21395428
1/25/1999,22.30538082
1/26/1999,22.88260759
1/27/1999,22.82489116
1/28/1999,23.240609
1/29/1999,23.46190769
2/1/1999,23.30995712
2/2/1999,23.09809562
2/3/1999,23.24803088
2/4/1999,22.75627138
2/5/1999,22.49915952
2/8/1999,22.56083028
2/9/1999,22.02750431
2/10/1999,22.15503796
2/11/1999,22.83179983
2/12/1999,22.3981971
2/15/1999,22.39767111
2/16/1999,22.77806102
2/17/1999,22.38381542
2/18/1999,22.60186028
2/19/1999,22.66077199
2/22/1999,23.32460831
2/23/1999,23.3373202
2/24/1999,23.02632115
2/25/1999,22.87215882
2/26/1999,22.86750694
3/1/1999,22.79747773
3/2/1999,22.61727267
3/3/1999,22.60759826
3/4/1999,22.9476465
3/5/1999,23.49293593
3/8/1999,23.69077959
3/9/1999,23.77570497
3/10/1999,23.77148974
3/11/1999,24.02827885
3/12/1999,23.92166983
3/15/1999,24.22460831
3/16/1999,24.24689283
3/17/1999,24.08132572
3/18/1999,24.50398531
3/19/1999,24.1990239
3/22/1999,24.19251429
3/23/1999,23.49591323
3/24/1999,23.54471783
3/25/1999,24.04320088
3/26/1999,23.8753808
3/29/1999,24.46705496
3/30/1999,24.46236774
3/31/1999,24.17071605
4/1/1999,24.36389068
4/2/1999,24.36331853
4/5/1999,24.97364561
4/6/1999,24.9584381
4/7/1999,25.05973995
4/8/1999,25.49319315
4/9/1999,25.57026331
4/12/1999,25.82961887
4/13/1999,25.55901151
4/14/1999,24.8397968
4/15/1999,24.41664364
4/16/1999,24.05198365
4/19/1999,23.01811359
4/20/1999,23.63196802
4/21/1999,24.51941046
4/22/1999,25.07793149
4/23/1999,25.15042544
4/26/1999,25.30513229
4/27/1999,25.14878744
4/28/1999,24.62980171
4/29/1999,24.29398727
4/30/1999,24.22536637
5/3/1999,24.36409196
5/4/1999,23.85796113
5/5/1999,24.20265217
5/6/1999,23.80797669
5/7/1999,24.05903734
5/10/1999,24.05481915
5/11/1999,24.46248935
5/12/1999,24.67972657
5/13/1999,24.76818744
5/14/1999,24.1699073
5/17/1999,24.36019681
5/18/1999,24.22584525
5/19/1999,24.43712693
5/20/1999,24.28132133
5/21/1999,23.97988261
5/24/1999,23.52003796
5/25/1999,23.11636845
5/26/1999,23.58467208
5/27/1999,23.14039058
5/28/1999,23.54202278
5/31/1999,23.54146993
6/1/1999,23.27113875
6/2/1999,23.39566419
6/3/1999,23.4585622
6/4/1999,24.20703844
6/7/1999,24.29091048
6/8/1999,23.86267031
6/9/1999,23.97073636
6/10/1999,23.6319789
6/11/1999,23.41874525
6/14/1999,23.26120016
6/15/1999,23.44867852
6/16/1999,24.28280991
6/17/1999,24.46706119
6/18/1999,24.56231776
6/21/1999,24.88482126
6/22/1999,24.53013446
6/23/1999,24.576558
6/24/1999,24.16713965
6/25/1999,24.13143817
6/28/1999,24.59398995
6/29/1999,24.99218699
6/30/1999,25.43370954
7/1/1999,25.59142851
7/2/1999,25.91019002
7/5/1999,25.90958155
7/6/1999,25.87293245
7/7/1999,26.02287089
7/8/1999,26.06833492
7/9/1999,26.259774
7/12/1999,26.13827277
7/13/1999,26.04825211
7/14/1999,26.17216843
7/15/1999,26.34579775
7/16/1999,26.50391067
7/19/1999,26.36554163
7/20/1999,25.56719677
7/21/1999,25.65553447
7/22/1999,25.19611332
7/23/1999,25.16678913
7/26/1999,24.83418605
7/27/1999,25.17016753
7/28/1999,25.3264539
7/29/1999,24.81875548
7/30/1999,24.57009909
8/2/1999,24.48014478
8/3/1999,24.26205981
8/4/1999,23.9030857
8/5/1999,24.03703679
8/6/1999,23.83812812
8/9/1999,23.65017169
8/10/1999,23.3733154
8/11/1999,23.95407885
8/12/1999,23.88786373
8/13/1999,24.57071194
8/16/1999,24.66860926
8/17/1999,24.93973979
8/18/1999,24.65696539
8/19/1999,24.36371937
8/20/1999,24.58970803
8/23/1999,25.15574732
8/24/1999,25.23264864
8/25/1999,25.67329468
