,MTUM,VLUE,QUAL,SIZE,USMV,IVLU,IMTM,IQLT,EMGF,ACWV,SPTL,AGG,EMB,TIP,HYG,SCHH,DBC,GLD,,,,,,,,,,,,,,,,,,
11/29/1999,0.012063277,0.015973742,0.013233651,0.019231411,0.017857544,0.030335735,0.020154623,0.025830388,0.058289023,0.052696236,0.058663431,0.151953314,0.044365477,0.125521194,0.165136463,0.059013324,0.061826896,0.067854271,,,,,,,,,,,,,,,,,,
11/30/1999,0.012015985,0.015972558,0.013226636,0.019149676,0.017902563,0.030374333,0.020239985,0.026026089,0.058596844,0.053017146,0.058422059,0.152166769,0.044183501,0.126076689,0.165731352,0.059079608,0.06069177,0.067126437,,,,,,,,,,,,,,,,,,
12/1/1999,0.011805992,0.015927178,0.013042601,0.01926373,0.017758903,0.030093097,0.019859961,0.025722457,0.058803159,0.052597331,0.058803047,0.15294773,0.044069639,0.126429647,0.166389891,0.059586443,0.059787621,0.067111575,,,,,,,,,,,,,,,,,,
12/2/1999,0.011954885,0.015964245,0.0131634,0.019242146,0.017839465,0.030363644,0.019797158,0.025783222,0.059061633,0.052753429,0.05867694,0.152708059,0.043448777,0.126313693,0.166316308,0.059672822,0.06035137,0.066588804,,,,,,,,,,,,,,,,,,
12/3/1999,0.012128503,0.016058813,0.013296443,0.019306422,0.017927534,0.030536554,0.019690006,0.025866378,0.059678523,0.052915456,0.058467151,0.152410832,0.043341614,0.126156056,0.166178086,0.05922269,0.061039589,0.065779349,,,,,,,,,,,,,,,,,,
12/6/1999,0.012296826,0.016332899,0.013447322,0.019473258,0.018127368,0.030794357,0.020178883,0.026112742,0.059503614,0.053307836,0.058678368,0.152292074,0.043727025,0.125649182,0.165617208,0.059131515,0.060589038,0.064740483,,,,,,,,,,,,,,,,,,
12/7/1999,0.012331015,0.016202331,0.013286374,0.019269017,0.017952931,0.031240335,0.020626193,0.026457047,0.059758397,0.0533482,0.05873115,0.152321112,0.043879348,0.125541127,0.16576005,0.058816558,0.06133235,0.063146465,,,,,,,,,,,,,,,,,,
12/8/1999,0.012291072,0.015981287,0.01314788,0.01905347,0.017753508,0.031274104,0.020815583,0.026816586,0.058896484,0.05310786,0.058965199,0.152530658,0.044019478,0.125473335,0.166521333,0.058619179,0.06092235,0.063810633,,,,,,,,,,,,,,,,,,
12/9/1999,0.012279802,0.01586631,0.013098698,0.018996683,0.017682801,0.031235549,0.020794989,0.026993353,0.05901161,0.052669909,0.05881316,0.152389993,0.044067675,0.125458851,0.16682533,0.058140188,0.061458036,0.064217064,,,,,,,,,,,,,,,,,,
12/10/1999,0.012425227,0.01578208,0.013249787,0.018973112,0.01774542,0.031306398,0.020844929,0.026940782,0.059073146,0.05290166,0.058961782,0.152611414,0.04416863,0.125503479,0.167073076,0.058051482,0.060590969,0.063796627,,,,,,,,,,,,,,,,,,
12/13/1999,0.012529662,0.015722289,0.013298826,0.018936197,0.017766062,0.031309396,0.020817866,0.026735926,0.060283681,0.052907174,0.059222775,0.152710365,0.044100492,0.125193453,0.167021361,0.057330175,0.060087211,0.064027087,,,,,,,,,,,,,,,,,,
12/14/1999,0.012610481,0.015658481,0.013307299,0.018821128,0.01768302,0.031242754,0.020686085,0.02683084,0.061046279,0.05280515,0.059040273,0.152458949,0.044464917,0.125131045,0.16699764,0.056990386,0.060498233,0.063727042,,,,,,,,,,,,,,,,,,
12/15/1999,0.012428578,0.015576027,0.013244636,0.018875225,0.01763114,0.031234807,0.02072957,0.026782284,0.061054697,0.052684605,0.058557496,0.152218149,0.044409099,0.125383328,0.167650173,0.056437355,0.061187691,0.063915141,,,,,,,,,,,,,,,,,,
12/16/1999,0.012597217,0.015721763,0.013492868,0.018993402,0.017732612,0.031088513,0.020501353,0.026458024,0.060179784,0.052552401,0.058425191,0.152217884,0.044430338,0.125258222,0.168102639,0.056434827,0.061622857,0.064190105,,,,,,,,,,,,,,,,,,
12/17/1999,0.012702934,0.015794736,0.013525498,0.018928517,0.017704938,0.031490417,0.020739463,0.026893486,0.060329952,0.052774242,0.057990705,0.15171737,0.044246401,0.124976428,0.167374196,0.056452654,0.062151604,0.064206458,,,,,,,,,,,,,,,,,,
12/20/1999,0.012711147,0.015731967,0.013458285,0.01891799,0.017642548,0.031411783,0.020825347,0.027047369,0.060446222,0.052695951,0.05778649,0.151194944,0.043872887,0.124361131,0.166219909,0.058568753,0.062240539,0.064866739,,,,,,,,,,,,,,,,,,
12/21/1999,0.01278674,0.015675787,0.013433784,0.018836893,0.017646576,0.031511655,0.021050149,0.027307711,0.060836509,0.052867071,0.057457438,0.15076902,0.043620598,0.124167501,0.165590416,0.059290862,0.062300754,0.064850536,,,,,,,,,,,,,,,,,,
12/22/1999,0.01294567,0.015743024,0.013497349,0.018904771,0.017622137,0.031406257,0.021134411,0.027115397,0.060989223,0.053047453,0.057337594,0.150636618,0.043803483,0.12415895,0.165612425,0.05928274,0.062271227,0.06449127,,,,,,,,,,,,,,,,,,
12/23/1999,0.01294857,0.01575155,0.013532273,0.01891024,0.017660838,0.031706864,0.021542649,0.027213344,0.061334679,0.053285025,0.057217543,0.15027817,0.043825575,0.123838508,0.165104849,0.058972201,0.06185182,0.065025306,,,,,,,,,,,,,,,,,,
