,ACWV_A,AGG_A,DBC_A,EMB_A,EMGF_A,GLD_A,HYG_A,IMTM_A,IQLT_A,IVLU_A,MTUM_A,QUAL_A,SCHH_A,SHV_A,SPTL_A,SPY_A,TIP_A,USMV_A,VLUE_A
First Day,1999-01-01 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00,1999-01-04 00:00:00
Last Day,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-15 00:00:00,2018-11-14 00:00:00
Num of Days,5125,4996,4993,4989,5166,5000,4989,5165,5165,5159,5134,5137,5102,5081,4991,5001,4994,5136,5135
Proxy,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test
